EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
9989100,ORANGE CO., ,01/18/1988,1130,Tornado,0,F0,0,0,25000,0,CA,PST, , ,C,59, ,0,0, , ,1.5,13,0, ,0, , ,01/18/1988,1130,33.60,-117.63, , ,"","",1
9989101,ORANGE CO., ,01/18/1988,1200,Tornado,0,F0,0,0,250,0,CA,PST, , ,C,59, ,0,0, , ,.2,10,0, ,0, , ,01/18/1988,1200,33.42,-117.62, , ,"","",2
9989658,ASHLEY CO., ,01/19/1988,620,Tornado,0,F2,0,13,2500000,0,AR,CST, , ,C,3, ,0,0, , ,15,600,0, ,0, , ,01/19/1988,620,33.13,-91.95,33.30,-91.82,"","",3
10061453,BOLIVAR CO., ,01/19/1988,1000,Tornado,0,F1,0,0,25000,0,MS,CST, , ,C,11, ,0,0, , ,11,33,0, ,0, , ,01/19/1988,1000,33.67,-90.83,33.82,-90.73,"","",4
10061455,DE SOTO CO., ,01/19/1988,1012,Tornado,0,F2,0,1,2500000,0,MS,CST, , ,C,33, ,0,0, , ,9.5,70,0, ,0, , ,01/19/1988,1012,34.85,-90.12,34.95,-89.98,"","",5
10061459,ATTALA CO., ,01/19/1988,1110,Tornado,0,F1,0,0,250000,0,MS,CST, , ,C,7, ,0,0, , ,1.5,40,0, ,0, , ,01/19/1988,1110,32.97,-89.83, , ,"","",6
10061460,ATTALA CO., ,01/19/1988,1120,Tornado,0,F4,0,1,2500000,0,MS,CST, , ,C,7, ,0,0, , ,13,700,0, ,0, , ,01/19/1988,1120,33.15,-89.58,33.27,-89.33,"","",7
10121593,HAYWOOD CO., ,01/19/1988,1130,Tornado,0,F2,1,6,250000,0,TN,CST, , ,C,75, ,0,0, , ,3,60,0, ,0, , ,01/19/1988,1130,35.65,-89.22,35.68,-89.17,"","",8
10121594,FAYETTE CO., ,01/19/1988,1152,Tornado,0,F3,3,24,2500000,0,TN,CST, , ,C,47, ,0,0, , ,22,200,0, ,0, , ,01/19/1988,1152,35.07,-89.45,35.97,-88.05,"","",9
10121595,GIBSON CO., ,01/19/1988,1158,Tornado,0,F2,1,0,250000,0,TN,CST, , ,C,53, ,0,0, , ,4,60,0, ,0, , ,01/19/1988,1158,35.82,-88.90,35.85,-88.82,"","",10
10061465,CLAY CO., ,01/19/1988,1220,Tornado,0,F3,0,0,2500000,0,MS,CST, , ,C,25, ,0,0, , ,8,100,0, ,0, , ,01/19/1988,1220,33.78,-88.87,33.82,-88.75,"","",11
10061466,CHICKASAW CO., ,01/19/1988,1232,Tornado,0,F3,0,0,2500000,0,MS,CST, , ,C,17, ,0,0, , ,2,100,0, ,0, , ,01/19/1988,1232,33.82,-88.75,33.72,-88.77,"","",12
10121596,CARROLL CO., ,01/19/1988,1305,Tornado,0,F1,0,0,25000,0,TN,CST, , ,C,17, ,0,0, , ,1.5,30,0, ,0, , ,01/19/1988,1305,36.07,-88.50, , ,"","",13
10061470,LAUDERDALE CO., ,01/19/1988,1520,Tornado,0,F1,0,10,25000,0,MS,CST, , ,C,75, ,0,0, , ,1,30,0, ,0, , ,01/19/1988,1520,32.55,-88.50, , ,"","",14
9978972,CULLMAN CO., ,01/19/1988,1725,Tornado,0,F3,0,35,25000000,0,AL,CST, , ,C,43, ,0,0, , ,10,440,0, ,0, , ,01/19/1988,1725,34.12,-86.90,34.25,-86.77,"","",15
9978976,BIBB CO., ,01/19/1988,1815,Tornado,0,F1,0,0,250000,0,AL,CST, , ,C,7, ,0,0, , ,2,440,0, ,0, , ,01/19/1988,1815,33.02,-86.92,33.05,-86.92,"","",16
9978977,SHELBY CO., ,01/19/1988,1818,Tornado,0,F1,0,0,250000,0,AL,CST, , ,C,117, ,0,0, , ,4,440,0, ,0, , ,01/19/1988,1818,33.05,-86.92,33.10,-86.87,"","",17
9978985,CLAY CO., ,01/19/1988,2120,Tornado,0,F1,0,0,250000,0,AL,CST, , ,C,27, ,0,0, , ,5,100,0, ,0, , ,01/19/1988,2120,33.18,-85.80,33.25,-85.73,"","",18
10001115,VOLUSIA CO., ,01/21/1988,1015,Tornado,0,F1,0,3,250000,0,FL,CST, , ,C,127, ,0,0, , ,10,60,0, ,0, , ,01/21/1988,1015,29.17,-81.18,29.30,-81.05,"","",19
10044362,IBERIA PAR., ,02/01/1988,845,Tornado,0,F0,0,0,250,0,LA,CST, , ,C,45, ,0,0, , ,.2,10,0, ,0, , ,02/01/1988,845,30.00,-91.82, , ,"","",20
9978987,MARENGO CO., ,02/02/1988,1800,Tornado,0,F1,0,0,25000,0,AL,CST, , ,C,91, ,0,0, , ,2,50,0, ,0, , ,02/02/1988,1800,32.05,-87.80, , ,"","",21
