EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
9991289,BUTTE CO., ,01/22/1981,930,Tornado,0,F0,0,0,2500,0,CA,CST, , ,C,7, ,0,0, , ,0,33,0, ,0, , ,01/22/1981,930,39.73,-121.88, , ,"","",1
9991290,SAN JOAQUIN CO., ,01/23/1981,1245,Tornado,0,F0,0,0,25000,0,CA,CST, , ,C,77, ,0,0, , ,0,33,0, ,0, , ,01/23/1981,1245,37.97,-121.30, , ,"","",2
9999701,BAY CO., ,02/01/1981,2300,Tornado,0,F1,0,0,2500,0,FL,CST, , ,C,5, ,0,0, , ,.3,7,0, ,0, , ,02/01/1981,2300,30.12,-85.57, , ,"","",3
10110768,DILLON CO., ,02/02/1981,100,Tornado,0,F1,0,0,2500,0,SC,CST, , ,C,33, ,0,0, , ,.1,33,0, ,0, , ,02/02/1981,100,34.28,-79.27, , ,"","",4
10110769,DILLON CO., ,02/02/1981,210,Tornado,0,F1,0,0,2500,0,SC,CST, , ,C,33, ,0,0, , ,.1,33,0, ,0, , ,02/02/1981,210,34.32,-79.33, , ,"","",5
9999702,HILLSBOROUGH CO., ,02/02/1981,430,Tornado,0,F1,0,0,250000,0,FL,CST, , ,C,57, ,0,0, , ,.5,10,0, ,0, , ,02/02/1981,430,28.05,-82.30, , ,"","",6
9999703,MARTIN CO., ,02/02/1981,1110,Tornado,0,F1,0,0,2500,0,FL,CST, , ,C,85, ,0,0, , ,.3,10,0, ,0, , ,02/02/1981,1110,27.17,-80.30, , ,"","",7
10129978,WILLIAMSON CO., ,02/10/1981,113,Tornado,0,F2,0,0,250000,0,TX,CST, , ,C,491, ,0,0, , ,.8,100,0, ,0, , ,02/10/1981,113,30.67,-97.67, , ,"","",8
10129988,BRAZOS CO., ,02/10/1981,245,Tornado,0,F1,0,1,25000,0,TX,CST, , ,C,41, ,0,0, , ,2,77,0, ,0, , ,02/10/1981,245,30.78,-96.30, , ,"","",9
10129995,GRIMES CO., ,02/10/1981,310,Tornado,0,F2,0,2,250000,0,TX,CST, , ,C,185, ,0,0, , ,2.5,77,0, ,0, , ,02/10/1981,310,30.77,-96.00, , ,"","",10
