EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10074766,LINCOLN CO., ,06/01/1989,1750,Tornado,0,F1,0,0,0,0,NM,MST, , ,C,27, ,0,0, , ,5,50,0, ,0, , ,06/01/1989,1750,34.30,-105.12,34.27,-105.03,"","",1
10074767,DE BACA CO., ,06/01/1989,1755,Tornado,0,F1,0,0,0,0,NM,CST, , ,C,11, ,0,0, , ,8,50,0, ,0, , ,06/01/1989,1755,34.42,-104.65,34.43,-104.55,"","",2
10074768,DE BACA CO., ,06/01/1989,1812,Tornado,0,F1,0,0,0,0,NM,MST, , ,C,11, ,0,0, , ,5,50,0, ,0, , ,06/01/1989,1812,34.43,-104.78,34.43,-104.68,"","",3
10136716,HOWARD CO., ,06/01/1989,1848,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,227, ,0,0, , ,1,60,0, ,0, , ,06/01/1989,1848,32.30,-101.37, , ,"","",4
10136717,MITCHELL CO., ,06/01/1989,1910,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,335, ,0,0, , ,1.5,40,0, ,0, , ,06/01/1989,1910,32.48,-100.75, , ,"","",5
10136718,HOWARD CO., ,06/01/1989,1918,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,227, ,0,0, , ,1.5,70,0, ,0, , ,06/01/1989,1918,32.33,-101.30, , ,"","",6
10136726,DAWSON CO., ,06/01/1989,2023,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,115, ,0,0, , ,2,100,0, ,0, , ,06/01/1989,2023,32.82,-101.95, , ,"","",7
10136727,DAWSON CO., ,06/01/1989,2040,Tornado,0,F1,0,0,25000,0,TX,CST, , ,C,115, ,0,0, , ,4.5,150,0, ,0, , ,06/01/1989,2040,32.53,-102.00,32.57,-101.93,"","",8
10136731,HOWARD CO., ,06/01/1989,2300,Tornado,0,F1,0,0,25000,0,TX,CST, , ,C,227, ,0,0, , ,2.5,100,0, ,0, , ,06/01/1989,2300,32.25,-101.47, , ,"","",9
10069780,DUNKLIN CO., ,06/02/1989,1415,Tornado,0,F1,0,0,0,0,MO,CST, , ,C,69, ,0,0, , ,.5,23,0, ,0, , ,06/02/1989,1415,36.03,-90.02, , ,"","",10
