EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10140309,JONES CO., ,06/01/1988,1502,Tornado,0,F1,0,0,0,0,TX,CST, , ,C,253, ,0,0, , ,1,73,0, ,0, , ,06/01/1988,1502,32.62,-99.95, , ,"","",1
10140310,JONES CO., ,06/01/1988,1525,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,253, ,0,0, , ,.2,10,0, ,0, , ,06/01/1988,1525,32.57,-99.98, , ,"","",2
10101416,NOBLE CO., ,06/02/1988,1209,Tornado,0,F0,0,0,0,0,OK,CST, , ,C,103, ,0,0, , ,.5,50,0, ,0, , ,06/02/1988,1209,36.50,-97.30, , ,"","",3
10140538,COMANCHE CO., ,06/02/1988,1520,Tornado,0,F1,0,0,0,0,TX,CST, , ,C,93, ,0,0, , ,.2,10,0, ,0, , ,06/02/1988,1520,32.12,-98.47, , ,"","",4
10140542,BROWN CO., ,06/02/1988,1545,Tornado,0,F1,0,0,0,0,TX,CST, , ,C,49, ,0,0, , ,.2,10,0, ,0, , ,06/02/1988,1545,31.68,-98.80, , ,"","",5
9984640,ADAMS CO., ,06/05/1988,1505,Tornado,0,F2,0,0,250000,0,CO,MST, , ,C,1, ,0,0, , ,1,50,0, ,0, , ,06/05/1988,1505,40.00,-104.97,40.03,-104.98,"","",6
9984641,WELD CO., ,06/05/1988,1506,Tornado,0,F2,0,0,250000,0,CO,MST, , ,C,123, ,0,0, , ,1,50,0, ,0, , ,06/05/1988,1506,40.03,-104.98,40.03,-104.97,"","",7
9984642,BOULDER CO., ,06/05/1988,1525,Tornado,0,F2,0,0,250000,0,CO,MST, , ,C,13, ,0,0, , ,.5,50,0, ,0, , ,06/05/1988,1525,39.95,-105.07, , ,"","",8
10002207,PASCO CO., ,06/05/1988,1830,Tornado,0,F0,0,2,2500,0,FL,EST, , ,C,101, ,0,0, , ,.5,30,0, ,0, , ,06/05/1988,1830,28.23,-82.18, , ,"","",9
9985200,NEW CASTLE CO., ,06/07/1988,1410,Tornado,0,F1,0,0,2500000,0,DE,EDT, , ,C,3, ,0,0, , ,13,100,0, ,0, , ,06/07/1988,1410,39.45,-75.73,39.30,-75.60,"","",10
9985201,KENT CO., ,06/07/1988,1435,Tornado,0,F1,0,30,2500000,0,DE,EDT, , ,C,1, ,0,0, , ,10,100,0, ,0, , ,06/07/1988,1435,39.30,-75.60,39.33,-75.48,"","",11
10071434,FERGUS CO., ,06/08/1988,1700,Tornado,0,F0,0,0,2500,0,MT,MST, , ,C,27, ,0,0, , ,.2,10,0, ,0, , ,06/08/1988,1700,47.43,-108.80, , ,"","",12
9984788,ADAMS CO., ,06/08/1988,1805,Tornado,0,F1,0,0,0,0,CO,MST, , ,C,1, ,0,0, , ,1.5,30,0, ,0, , ,06/08/1988,1805,39.93,-104.67, , ,"","",13
9984789,ADAMS CO., ,06/08/1988,1824,Tornado,0,F1,0,0,0,0,CO,MST, , ,C,1, ,0,0, , ,.5,30,0, ,0, , ,06/08/1988,1824,39.85,-104.78, , ,"","",14
10071441,DANIELS CO., ,06/08/1988,1930,Tornado,0,F0,0,0,0,0,MT,MST, , ,C,19, ,0,0, , ,.2,10,0, ,0, , ,06/08/1988,1930,48.80,-105.72, , ,"","",15
10071444,DANIELS CO., ,06/08/1988,1930,Tornado,0,F0,0,0,0,0,MT,MST, , ,C,19, ,0,0, , ,.2,10,0, ,0, , ,06/08/1988,1930,48.80,-105.72, , ,"","",16
10071443,DANIELS CO., ,06/08/1988,1930,Tornado,0,F0,0,0,0,0,MT,MST, , ,C,19, ,0,0, , ,.2,10,0, ,0, , ,06/08/1988,1930,48.80,-105.72, , ,"","",17
10071442,DANIELS CO., ,06/08/1988,1930,Tornado,0,F0,0,0,0,0,MT,MST, , ,C,19, ,0,0, , ,.2,10,0, ,0, , ,06/08/1988,1930,48.80,-105.72, , ,"","",18
10091584,MONTGOMERY CO., ,06/09/1988,1439,Tornado,0,F1,0,0,0,0,NC,EST, , ,C,123, ,0,0, , ,.3,73,0, ,0, , ,06/09/1988,1439,35.42,-80.00, , ,"","",19
10091600,ONSLOW CO., ,06/09/1988,1702,Tornado,0,F1,0,2,2500000,0,NC,EST, , ,C,133, ,0,0, , ,.3,73,0, ,0, , ,06/09/1988,1702,34.90,-77.53, , ,"","",20
10002217,BRADFORD CO., ,06/10/1988,1525,Tornado,0,F0,0,0,0,0,FL,EST, , ,C,7, ,0,0, , ,1,30,0, ,0, , ,06/10/1988,1525,30.05,-82.08, , ,"","",21
9984797,ARAPAHOE CO., ,06/10/1988,1617,Tornado,0,F0,0,0,0,0,CO,MST, , ,C,5, ,0,0, , ,.2,20,0, ,0, , ,06/10/1988,1617,39.72,-104.83, , ,"","",22
9984798,ARAPAHOE CO., ,06/10/1988,1635,Tornado,0,F0,0,0,0,0,CO,MST, , ,C,5, ,0,0, , ,.1,20,0, ,0, , ,06/10/1988,1635,39.75,-104.83, , ,"","",23
10086296,KIDDER CO., ,06/12/1988,920,Tornado,0,F1,0,1,250000,0,ND,CST, , ,C,43, ,0,0, , ,.5,50,0, ,0, , ,06/12/1988,920,46.87,-99.62, , ,"","",24
10081328,WHITE PINE CO., ,06/12/1988,1350,Tornado,0,F0,0,0,0,0,NV,CST, , ,C,33, ,0,0, , ,.2,10,0, ,0, , ,06/12/1988,1350,39.12,-114.72, , ,"","",25
10163074,PLATTE CO., ,06/13/1988,1408,Tornado,0,F0,0,0,0,0,WY,MST, , ,C,31, ,0,0, , ,.8,30,0, ,0, , ,06/13/1988,1408,41.65,-104.83, , ,"","",26
9984806,ADAMS CO., ,06/13/1988,1422,Tornado,0,F1,0,0,0,0,CO,MST, , ,C,1, ,0,0, , ,.2,30,0, ,0, , ,06/13/1988,1422,39.72,-104.30, , ,"","",27
9984811,LOGAN CO., ,06/13/1988,1700,Tornado,0,F2,0,0,250000,0,CO,MST, , ,C,75, ,0,0, , ,1.5,50,0, ,0, , ,06/13/1988,1700,40.87,-102.93, , ,"","",28
10082073,CHERRY CO., ,06/13/1988,1735,Tornado,0,F0,0,0,250,0,NE,CST, , ,C,31, ,0,0, , ,.1,30,0, ,0, , ,06/13/1988,1735,42.93,-101.70, , ,"","",29
10076976,QUAY CO., ,06/13/1988,2025,Tornado,0,F0,0,0,0,0,NM,MST, , ,C,37, ,0,0, , ,.2,10,0, ,0, , ,06/13/1988,2025,34.82,-103.75, , ,"","",30
10140584,EL PASO CO., ,06/14/1988,1350,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,141, ,0,0, , ,.2,30,0, ,0, , ,06/14/1988,1350,31.72,-106.37, , ,"","",31
10101458,CANADIAN CO., ,06/15/1988,1215,Tornado,0,F0,0,0,0,0,OK,CST, , ,C,17, ,0,0, , ,1,20,0, ,0, , ,06/15/1988,1215,35.43,-97.93, , ,"","",32
10010791,BANNOCK CO., ,06/15/1988,1600,Tornado,0,F0,0,0,25000,0,ID,MST, , ,C,5, ,0,0, , ,.2,73,0, ,0, , ,06/15/1988,1600,42.87,-112.43, , ,"","",33
9984816,ADAMS CO., ,06/15/1988,1603,Tornado,0,F1,0,0,2500,0,CO,MST, , ,C,1, ,0,0, , ,2,100,0, ,0, , ,06/15/1988,1603,39.88,-104.73, , ,"","",34
9984817,DENVER CO., ,06/15/1988,1616,Tornado,0,F2,0,0,2500000,0,CO,MST, , ,C,31, ,0,0, , ,.5,400,0, ,0, , ,06/15/1988,1616,39.73,-104.93, , ,"","",35
9984818,DENVER CO., ,06/15/1988,1624,Tornado,0,F3,0,7,25000000,0,CO,MST, , ,C,31, ,0,0, , ,2.5,200,0, ,0, , ,06/15/1988,1624,39.73,-104.93, , ,"","",36
9984819,ADAMS CO., ,06/15/1988,1630,Tornado,0,F1,0,0,0,0,CO,MST, , ,C,1, ,0,0, , ,1,100,0, ,0, , ,06/15/1988,1630,39.98,-104.80, , ,"","",37
9984820,LARIMER CO., ,06/15/1988,1638,Tornado,0,F1,0,0,2500,0,CO,MST, , ,C,69, ,0,0, , ,1,50,0, ,0, , ,06/15/1988,1638,40.67,-105.03, , ,"","",38
10122481,LINCOLN CO., ,06/18/1988,1605,Tornado,0,F2,0,0,25000,0,TN,CST, , ,C,103, ,0,0, , ,7,73,0, ,0, , ,06/18/1988,1605,35.08,-86.45,35.00,-86.35,"","",39
10086303,STEELE CO., ,06/18/1988,1715,Tornado,0,F0,0,0,0,0,ND,CST, , ,C,91, ,0,0, , ,.2,13,0, ,0, , ,06/18/1988,1715,47.27,-97.85, , ,"","",40
