EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10143193,PECOS CO., ,05/23/1984,1419,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,371, ,0,0, , ,.1,30,0, ,0, , ,05/23/1984,1419,30.88,-102.87, , ,"","",1
10042503,SOMERSET CO., ,05/23/1984,1520,Tornado,0,F1,0,0,250000,0,ME,CST, , ,C,25, ,0,0, , ,.3,20,0, ,0, , ,05/23/1984,1520,45.63,-70.27, , ,"","",2
9999873,INDIAN RIVER CO., ,05/24/1984,1515,Tornado,0,F0,0,0,2500,0,FL,CST, , ,C,61, ,0,0, , ,1,30,0, ,0, , ,05/24/1984,1515,27.63,-80.40, , ,"","",3
9988884,MORGAN CO., ,05/24/1984,1905,Tornado,0,F2,0,0,250000,0,CO,CST, , ,C,87, ,0,0, , ,5,50,0, ,0, , ,05/24/1984,1905,40.35,-103.97,40.38,-103.88,"","",4
9988891,KIT CARSON CO., ,05/24/1984,2056,Tornado,0,F1,0,0,0,0,CO,CST, , ,C,63, ,0,0, , ,1,50,0, ,0, , ,05/24/1984,2056,39.32,-103.08, , ,"","",5
9988892,MORGAN CO., ,05/24/1984,2059,Tornado,0,F1,0,0,25000,0,CO,CST, , ,C,87, ,0,0, , ,2,50,0, ,0, , ,05/24/1984,2059,40.27,-104.02, , ,"","",6
9988894,PROWERS CO., ,05/24/1984,2245,Tornado,0,F1,0,0,2500,0,CO,CST, , ,C,99, ,0,0, , ,1,30,0, ,0, , ,05/24/1984,2245,38.07,-102.32, , ,"","",7
10004120,ST. CLAIR CO., ,05/25/1984,1740,Tornado,0,F0,0,0,0,0,IL,CST, , ,C,163, ,0,0, , ,.1,3,0, ,0, , ,05/25/1984,1740,38.55,-89.92, , ,"","",8
10004124,EDGAR CO., ,05/25/1984,1840,Tornado,0,F2,0,0,250000,0,IL,CST, , ,C,45, ,0,0, , ,.1,3,0, ,0, , ,05/25/1984,1840,39.55,-87.93, , ,"","",9
10120936,LINCOLN CO., ,05/26/1984,1315,Tornado,0,F0,0,0,0,0,TN,CST, , ,C,103, ,0,0, , ,.1,20,0, ,0, , ,05/26/1984,1315,35.15,-86.58, , ,"","",10
10108227,MCCLAIN CO., ,05/27/1984,1735,Tornado,0,F0,0,0,2500,0,OK,CST, , ,C,87, ,0,0, , ,6.8,100,0, ,0, , ,05/27/1984,1735,35.12,-97.43,35.08,-97.33,"","",11
10108228,MCCLAIN CO., ,05/27/1984,1745,Tornado,0,F0,0,0,250,0,OK,CST, , ,C,87, ,0,0, , ,6,100,0, ,0, , ,05/27/1984,1745,35.08,-97.40,35.05,-97.30,"","",12
10089499,STOKES CO., ,05/28/1984,1745,Tornado,0,F0,0,0,2500,0,NC,CST, , ,C,169, ,0,0, , ,.1,50,0, ,0, , ,05/28/1984,1745,36.38,-80.25, , ,"","",13
10153077,CHESTERFIELD CO., ,05/29/1984,1240,Tornado,0,F2,0,0,2500000,0,VA,CST, , ,C,41, ,0,0, , ,.5,50,0, ,0, , ,05/29/1984,1240,37.50,-77.45, , ,"","",14
9992436,LOS ANGELES CO., ,05/30/1984,1115,Tornado,0,F0,0,0,30,0,CA,CST, , ,C,37, ,0,0, , ,.3,70,0, ,0, , ,05/30/1984,1115,34.12,-117.82, , ,"","",15
10024017,CHEYENNE CO., ,05/31/1984,1655,Tornado,0,F0,0,0,0,0,KS,CST, , ,C,23, ,0,0, , ,5,200,0, ,0, , ,05/31/1984,1655,39.80,-101.48,39.87,-101.55,"","",16
10024018,WALLACE CO., ,05/31/1984,1700,Tornado,0,F0,0,0,0,0,KS,CST, , ,C,199, ,0,0, , ,1,200,0, ,0, , ,05/31/1984,1700,39.02,-101.72, , ,"","",17
10067587,HITCHCOCK CO., ,05/31/1984,1705,Tornado,0,F0,0,0,0,0,NE,CST, , ,C,87, ,0,0, , ,.1,20,0, ,0, , ,05/31/1984,1705,40.15,-101.05, , ,"","",18
10067588,RED WILLOW CO., ,05/31/1984,1735,Tornado,0,F0,0,0,0,0,NE,CST, , ,C,145, ,0,0, , ,.1,20,0, ,0, , ,05/31/1984,1735,40.10,-100.47, , ,"","",19
10163017,CROOK CO., ,05/31/1984,1900,Tornado,0,F2,0,0,25000,0,WY,CST, , ,C,11, ,0,0, , ,.5,20,0, ,0, , ,05/31/1984,1900,44.30,-104.95, , ,"","",20
10067589,LINCOLN CO., ,05/31/1984,1945,Tornado,0,F1,0,0,25000,0,NE,CST, , ,C,111, ,0,0, , ,5,40,0, ,0, , ,05/31/1984,1945,40.92,-100.53,40.97,-100.45,"","",21
