EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10006356,DOUGLAS CO., ,06/01/1980,700,Tornado,0,F2,0,7,2500000,0,IL,CST, , ,C,41, ,0,0, , ,1,3,0, ,0, , ,06/01/1980,700,39.80,-88.28, , ,"","",1
10017344,MARION CO., ,06/01/1980,930,Tornado,0,F0,0,0,25000,0,IN,CST, , ,C,97, ,0,0, , ,0,33,0, ,0, , ,06/01/1980,930,39.78,-86.25, , ,"","",2
10097792,LICKING CO., ,06/01/1980,1220,Tornado,0,F1,0,0,250000,0,OH,CST, , ,C,89, ,0,0, , ,.2,77,0, ,0, , ,06/01/1980,1220,40.00,-82.67, , ,"","",3
10097793,LICKING CO., ,06/01/1980,1250,Tornado,0,F1,0,5,2500000,0,OH,CST, , ,C,89, ,0,0, , ,2,150,0, ,0, , ,06/01/1980,1250,40.23,-82.70, , ,"","",4
10018419,TIPTON CO., ,06/01/1980,1830,Tornado,0,F1,0,0,250000,0,IN,CST, , ,C,159, ,0,0, , ,0,33,0, ,0, , ,06/01/1980,1830,40.22,-86.17, , ,"","",5
10071378,CHOUTEAU CO., ,06/01/1980,1900,Tornado,0,F1,0,0,0,0,MT,CST, , ,C,15, ,0,0, , ,0,33,0, ,0, , ,06/01/1980,1900,47.78,-110.95, , ,"","",6
10018423,HAMILTON CO., ,06/01/1980,1900,Tornado,0,F0,0,0,25000,0,IN,CST, , ,C,57, ,0,0, , ,0,33,0, ,0, , ,06/01/1980,1900,40.18,-86.17, , ,"","",7
10018425,BOONE CO., ,06/01/1980,1930,Tornado,0,F0,0,0,0,0,IN,CST, , ,C,11, ,0,0, , ,0,33,0, ,0, , ,06/01/1980,1930,39.93,-86.63, , ,"","",8
10097795,MERCER CO., ,06/01/1980,2130,Tornado,0,F1,0,4,2500000,0,OH,CST, , ,C,107, ,0,0, , ,1,150,0, ,0, , ,06/01/1980,2130,40.48,-84.55, , ,"","",9
10066160,THAYER CO., ,06/02/1980,330,Tornado,0,F2,0,0,25000,0,NE,CST, , ,C,169, ,0,0, , ,2,300,0, ,0, , ,06/02/1980,330,40.23,-97.60, , ,"","",10
10014770,WAYNE CO., ,06/02/1980,630,Tornado,0,F2,0,0,250000,0,IA,CST, , ,C,185, ,0,0, , ,4.7,80,0, ,0, , ,06/02/1980,630,40.65,-93.42,40.65,-93.32,"","",11
10014771,APPANOOSE CO., ,06/02/1980,700,Tornado,0,F1,0,3,2500000,0,IA,CST, , ,C,7, ,0,0, , ,2,30,0, ,0, , ,06/02/1980,700,40.67,-93.02, , ,"","",12
10014773,APPANOOSE CO., ,06/02/1980,705,Tornado,0,F2,0,5,2500000,0,IA,CST, , ,C,7, ,0,0, , ,14.7,80,0, ,0, , ,06/02/1980,705,40.63,-92.92,40.67,-92.63,"","",13
10014775,DAVIS CO., ,06/02/1980,735,Tornado,0,F2,0,0,2500000,0,IA,CST, , ,C,51, ,0,0, , ,5.1,33,0, ,0, , ,06/02/1980,735,40.67,-92.63,40.72,-92.55,"","",14
10018442,FOUNTAIN CO., ,06/02/1980,1200,Tornado,0,F2,0,0,25000000,0,IN,CST, , ,C,45, ,0,0, , ,0,33,0, ,0, , ,06/02/1980,1200,40.13,-87.40, , ,"","",15
