EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10049737,JEFFERSON CO., ,01/23/1969,525,Tornado,0,F4,0,0,250000,0,MS,CST, , ,C,63, ,0,0, , ,19.5,200,0, ,0, , ,01/23/1969,525,31.68,-91.05,31.77,-90.73,"","",1
10049738,COPIAH CO., ,01/23/1969,625,Tornado,0,F4,11,140,250000,0,MS,CST, , ,C,29, ,0,0, , ,34.5,200,0, ,0, , ,01/23/1969,625,31.77,-90.73,31.90,-90.17,"","",2
10049739,SIMPSON CO., ,01/23/1969,640,Tornado,0,F4,12,65,250000,0,MS,CST, , ,C,127, ,0,0, , ,23,200,0, ,0, , ,01/23/1969,640,31.90,-90.17,32.05,-89.82,"","",3
10049740,RANKIN CO., ,01/23/1969,715,Tornado,0,F4,0,1,250000,0,MS,CST, , ,C,121, ,0,0, , ,5.6,200,0, ,0, , ,01/23/1969,715,32.05,-89.82,32.08,-89.73,"","",4
10049741,SMITH CO., ,01/23/1969,725,Tornado,0,F4,9,35,250000,0,MS,CST, , ,C,129, ,0,0, , ,14.9,200,0, ,0, , ,01/23/1969,725,32.08,-89.73,32.22,-89.53,"","",5
10049742,SCOTT CO., ,01/23/1969,745,Tornado,0,F4,0,0,250000,0,MS,CST, , ,C,123, ,0,0, , ,20.3,200,0, ,0, , ,01/23/1969,745,32.22,-89.53,32.30,-89.20,"","",6
10033593,CALDWELL CO., ,01/23/1969,1600,Tornado,0,F1,0,0,2500,0,KY,CST, , ,C,33, ,0,0, , ,.1,50,0, ,0, , ,01/23/1969,1600,37.00,-87.83, , ,"","",7
10124253,STEWART CO., ,01/23/1969,1605,Tornado,0,F2,0,0,250000,0,TN,CST, , ,C,161, ,0,0, , ,.1,7,0, ,0, , ,01/23/1969,1605,36.48,-88.03, , ,"","",8
10001519,MIAMI-DADE CO., ,02/12/1969,1700,Tornado,0,F0,0,0,25000,0,FL,CST, , ,C,86, ,0,0, , ,1,117,0, ,0, , ,02/12/1969,1700,25.90,-80.20, , ,"","",9
9994197,DOOLY CO., ,02/13/1969,1815,Tornado,0,F1,0,0,25000,0,GA,CST, , ,C,93, ,0,0, , ,0,33,0, ,0, , ,02/13/1969,1815,32.10,-83.80, , ,"","",10
