EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
9995443,BLECKLEY CO., ,01/19/1961,1415,Tornado,0,F1,0,0,250,0,GA,CST, , ,C,23, ,0,0, , ,1.5,100,0, ,0, , ,01/19/1961,1415,32.30,-83.35, , ,"","",1
10121369,NUECES CO., ,02/05/1961,940,Tornado,0,F0,0,0,2500,0,TX,CST, , ,C,355, ,0,0, , ,.3,20,0, ,0, , ,02/05/1961,940,27.67,-97.28, , ,"","",2
10029034,CHASE CO., ,02/17/1961,1500,Tornado,0, ,0,0,0,0,KS,CST, , ,C,17, ,0,0, , ,0,33,0, ,0, , ,02/17/1961,1500,38.30,-96.78, , ,"","",3
10091756,MCCLAIN CO., ,02/17/1961,1630,Tornado,0, ,0,0,250,0,OK,CST, , ,C,87, ,0,0, , ,.5,17,0, ,0, , ,02/17/1961,1630,34.88,-97.50, , ,"","",4
10091758,OKLAHOMA CO., ,02/17/1961,1645,Tornado,0,F3,0,7,25000,0,OK,CST, , ,C,109, ,0,0, , ,16.8,300,0, ,0, , ,02/17/1961,1645,35.52,-97.38,35.68,-97.17,"","",5
10091761,GARVIN CO., ,02/17/1961,1815,Tornado,0,F3,0,1,2500000,0,OK,CST, , ,C,49, ,0,0, , ,2,300,0, ,0, , ,02/17/1961,1815,34.80,-96.95, , ,"","",6
10091762,PONTOTOC CO., ,02/17/1961,1820,Tornado,0,F3,0,0,2500000,0,OK,CST, , ,C,123, ,0,0, , ,12,300,0, ,0, , ,02/17/1961,1820,34.82,-96.92,34.93,-96.77,"","",7
10091763,SEMINOLE CO., ,02/17/1961,1845,Tornado,0,F3,0,7,2500000,0,OK,CST, , ,C,133, ,0,0, , ,25,300,0, ,0, , ,02/17/1961,1845,34.93,-96.77,35.17,-96.45,"","",8
10091764,POTTAWATOMIE CO., ,02/17/1961,1900,Tornado,0,F2,0,1,25000,0,OK,CST, , ,C,125, ,0,0, , ,6.6,33,0, ,0, , ,02/17/1961,1900,35.33,-97.10,35.38,-97.00,"","",9
10091765,HUGHES CO., ,02/17/1961,1930,Tornado,0,F3,0,2,2500000,0,OK,CST, , ,C,63, ,0,0, , ,13,300,0, ,0, , ,02/17/1961,1930,35.17,-96.45,35.28,-96.27,"","",10
10091766,OKFUSKEE CO., ,02/17/1961,2000,Tornado,0,F3,0,0,2500000,0,OK,CST, , ,C,107, ,0,0, , ,12,300,0, ,0, , ,02/17/1961,2000,35.28,-96.27,35.40,-96.08,"","",11
10096095,OKMULGEE CO., ,02/17/1961,2030,Tornado,0,F3,0,1,2500000,0,OK,CST, , ,C,111, ,0,0, , ,9,300,0, ,0, , ,02/17/1961,2030,35.40,-96.08,35.48,-95.97,"","",12
10029038,CHEROKEE CO., ,02/17/1961,2300,Tornado,0,F2,0,0,2500,0,KS,CST, , ,C,21, ,0,0, , ,7.3,880,0, ,0, , ,02/17/1961,2300,37.15,-94.72,37.23,-94.63,"","",13
10085652,SENECA CO., ,02/18/1961,1945,Tornado,0,F2,0,0,250000,0,OH,CST, , ,C,147, ,0,0, , ,1.5,440,0, ,0, , ,02/18/1961,1945,41.10,-83.20, , ,"","",14
10050426,MARION CO., ,02/20/1961,1710,Tornado,0,F2,0,4,25000,0,MS,CST, , ,C,91, ,0,0, , ,7.9,73,0, ,0, , ,02/20/1961,1710,31.33,-89.83,31.43,-89.77,"","",15
10050427,FORREST CO., ,02/20/1961,1730,Tornado,0,F1,0,0,25000,0,MS,CST, , ,C,35, ,0,0, , ,0,33,0, ,0, , ,02/20/1961,1730,31.22,-89.30, , ,"","",16
10050429,JEFFERSON DAVIS CO., ,02/20/1961,1730,Tornado,0,F2,0,2,250000,0,MS,CST, , ,C,65, ,0,0, , ,12.9,73,0, ,0, , ,02/20/1961,1730,31.60,-89.95,31.77,-89.85,"","",17
10050428,JEFFERSON DAVIS CO., ,02/20/1961,1730,Tornado,0,F2,0,4,25000,0,MS,CST, , ,C,65, ,0,0, , ,9.1,73,0, ,0, , ,02/20/1961,1730,31.42,-89.77,31.53,-89.70,"","",18
10050430,RANKIN CO., ,02/20/1961,1740,Tornado,0,F1,0,0,0,0,MS,CST, , ,C,121, ,0,0, , ,0,33,0, ,0, , ,02/20/1961,1740,32.33,-90.12, , ,"","",19
9979120,MARENGO CO., ,02/20/1961,1800,Tornado,0,F1,0,2,25000,0,AL,CST, , ,C,91, ,0,0, , ,1,33,0, ,0, , ,02/20/1961,1800,32.33,-87.77, , ,"","",20
10050431,SIMPSON CO., ,02/20/1961,1800,Tornado,0,F2,0,2,0,0,MS,CST, , ,C,127, ,0,0, , ,12.5,73,0, ,0, , ,02/20/1961,1800,31.77,-89.85,31.93,-89.77,"","",21
