EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10010622,HONOLULU CO., ,01/21/1957,1120,Tornado,0, ,0,0,25000,0,HI,PST, , ,C,3, ,0,0, , ,2.5,7,0, ,0, , ,01/21/1957,1120,21.52,-158.07, , ,"","",1
10092655,MUSKOGEE CO., ,01/21/1957,1855,Tornado,0,F1,0,0,25000,0,OK,CST, , ,C,101, ,0,0, , ,5.7,400,0, ,0, , ,01/21/1957,1855,35.50,-95.30,35.57,-95.23,"","",2
10092657,POTTAWATOMIE CO., ,01/22/1957,330,Tornado,0,F2,0,0,25000,0,OK,CST, , ,C,125, ,0,0, , ,21.5,440,0, ,0, , ,01/22/1957,330,35.07,-96.87,35.15,-96.50,"","",3
10092658,HUGHES CO., ,01/22/1957,415,Tornado,0,F2,0,0,25000,0,OK,CST, , ,C,63, ,0,0, , ,16.6,33,0, ,0, , ,01/22/1957,415,35.15,-96.50,35.25,-96.23,"","",4
10092659,HUGHES CO., ,01/22/1957,500,Tornado,0,F2,0,0,25000,0,OK,CST, , ,C,63, ,0,0, , ,25.6,33,0, ,0, , ,01/22/1957,500,35.25,-96.23,35.52,-95.92,"","",5
10092660,HASKELL CO., ,01/22/1957,600,Tornado,0,F2,0,0,2500,0,OK,CST, , ,C,61, ,0,0, , ,6.1,50,0, ,0, , ,01/22/1957,600,35.25,-95.30,35.28,-95.20,"","",6
9984214,JOHNSON CO., ,01/22/1957,645,Tornado,0,F2,0,0,0,0,AR,CST, , ,C,71, ,0,0, , ,7.4,33,0, ,0, , ,01/22/1957,645,35.55,-93.67,35.57,-93.53,"","",7
10092661,SEQUOYAH CO., ,01/22/1957,645,Tornado,0,F4,10,20,250000,0,OK,CST, , ,C,135, ,0,0, , ,0,880,0, ,0, , ,01/22/1957,645,35.40,-94.68, , ,"","",8
9984215,HOT SPRING CO., ,01/22/1957,900,Tornado,0,F2,0,0,25000,0,AR,CST, , ,C,59, ,0,0, , ,3.4,880,0, ,0, , ,01/22/1957,900,34.32,-93.17,34.37,-93.17,"","",9
10029375,BOSSIER PAR., ,01/22/1957,1050,Tornado,0,F3,3,9,250000,0,LA,CST, , ,C,15, ,0,0, , ,1.7,167,0, ,0, , ,01/22/1957,1050,32.60,-93.50, , ,"","",10
9984216,MISSISSIPPI CO., ,01/22/1957,1130,Tornado,0,F2,0,0,250,0,AR,CST, , ,C,93, ,0,0, , ,0,33,0, ,0, , ,01/22/1957,1130,35.80,-90.20, , ,"","",11
