EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10071162,BEAVERHEAD CO., ,08/02/1959,1144,Tornado,0, ,0,0,30,0,MT,CST, , ,C,1, ,0,0, , ,0,33,0, ,0, , ,08/02/1959,1144,45.37,-112.98, , ,"","",1
10010947,MACOUPIN CO., ,08/04/1959,615,Tornado,0,F2,0,0,25000,0,IL,CST, , ,C,117, ,0,0, , ,26.7,33,0, ,0, , ,08/04/1959,615,39.45,-89.78,39.20,-89.40,"","",2
10070583,BUTLER CO., ,08/09/1959,600,Tornado,0, ,0,0,25000,0,NE,CST, , ,C,23, ,0,0, , ,1.5,33,0, ,0, , ,08/09/1959,600,41.33,-96.95, , ,"","",3
10083615,TRAILL CO., ,08/11/1959,1755,Tornado,0, ,0,0,0,0,ND,CST, , ,C,97, ,0,0, , ,0,33,0, ,0, , ,08/11/1959,1755,47.10,-97.20, , ,"","",4
10121029,CHAMBERS CO., ,08/13/1959,945,Tornado,0, ,0,0,250,0,TX,CST, , ,C,71, ,0,0, , ,5.6,17,0, ,0, , ,08/13/1959,945,29.50,-94.50,29.55,-94.43,"","",5
10121030,BRAZORIA CO., ,08/13/1959,1309,Tornado,0,F0,0,0,30,0,TX,CST, , ,C,39, ,0,0, , ,.3,100,0, ,0, , ,08/13/1959,1309,29.03,-95.20, , ,"","",6
10042649,AROOSTOOK CO., ,08/15/1959,1430,Tornado,0,F1,0,1,25000,0,ME,CST, , ,C,3, ,0,0, , ,1,23,0, ,0, , ,08/15/1959,1430,46.52,-67.70, , ,"","",7
10009600,OGLE CO., ,08/15/1959,1430,Tornado,0,F1,0,0,25000,0,IL,CST, , ,C,141, ,0,0, , ,0,200,0, ,0, , ,08/15/1959,1430,41.93,-89.12, , ,"","",8
10042650,PENOBSCOT CO., ,08/16/1959,1200,Tornado,0,F2,0,0,2500,0,ME,CST, , ,C,19, ,0,0, , ,2,27,0, ,0, , ,08/16/1959,1200,45.05,-68.60, , ,"","",9
10042651,KENNEBEC CO., ,08/16/1959,1245,Tornado,0,F1,0,0,2500,0,ME,CST, , ,C,11, ,0,0, , ,.5,33,0, ,0, , ,08/16/1959,1245,44.40,-69.75, , ,"","",10
10031588,JEFFERSON DAVIS PAR., ,08/16/1959,1250,Tornado,0,F0,0,0,250,0,LA,CST, , ,C,53, ,0,0, , ,.1,67,0, ,0, , ,08/16/1959,1250,30.23,-92.75, , ,"","",11
9983938,YUMA CO., ,08/17/1959,920,Tornado,0,F2,0,1,250000,0,AZ,CST, , ,C,27, ,0,0, , ,0,200,0, ,0, , ,08/17/1959,920,32.60,-114.10, , ,"","",12
10042652,PENOBSCOT CO., ,08/17/1959,1600,Tornado,0,F1,0,0,2500,0,ME,CST, , ,C,19, ,0,0, , ,2,300,0, ,0, , ,08/17/1959,1600,44.87,-69.17, , ,"","",13
10042653,PENOBSCOT CO., ,08/17/1959,1900,Tornado,0,F1,0,1,2500,0,ME,CST, , ,C,19, ,0,0, , ,.8,300,0, ,0, , ,08/17/1959,1900,44.83,-68.40, , ,"","",14
10009250,MARSHALL CO., ,08/17/1959,1910,Tornado,0, ,0,0,25000,0,IN,CST, , ,C,99, ,0,0, , ,0,10,0, ,0, , ,08/17/1959,1910,41.33,-86.30, , ,"","",15
10025400,COWLEY CO., ,08/18/1959,1530,Tornado,0,F1,0,0,2500,0,KS,CST, , ,C,35, ,0,0, , ,1.5,50,0, ,0, , ,08/18/1959,1530,38.53,-97.32, , ,"","",16
10121033,WHARTON CO., ,08/21/1959,955,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,481, ,0,0, , ,.3,100,0, ,0, , ,08/21/1959,955,29.07,-96.33, , ,"","",17
10070587,HOLT CO., ,08/21/1959,1600,Tornado,0,F0,0,0,2500,0,NE,CST, , ,C,89, ,0,0, , ,0,33,0, ,0, , ,08/21/1959,1600,42.38,-98.45, , ,"","",18
10070588,ANTELOPE CO., ,08/21/1959,1615,Tornado,0, ,0,0,25000,0,NE,CST, , ,C,3, ,0,0, , ,0,33,0, ,0, , ,08/21/1959,1615,42.17,-98.18, , ,"","",19
10085617,ERIE CO., ,08/22/1959,1500,Tornado,0,F0,0,0,2500,0,OH,CST, , ,C,43, ,0,0, , ,0,33,0, ,0, , ,08/22/1959,1500,41.30,-82.60, , ,"","",20
10150859,BUCKINGHAM CO., ,08/23/1959,1500,Tornado,0,F1,0,0,25000,0,VA,CST, , ,C,29, ,0,0, , ,1,440,0, ,0, , ,08/23/1959,1500,37.53,-78.48, , ,"","",21
10083619,STUTSMAN CO., ,08/24/1959,1850,Tornado,0,F2,0,1,0,0,ND,CST, , ,C,93, ,0,0, , ,0,33,0, ,0, , ,08/24/1959,1850,46.70,-99.30, , ,"","",22
10083620,EMMONS CO., ,08/25/1959,1717,Tornado,0,F2,0,0,0,0,ND,CST, , ,C,29, ,0,0, , ,1,33,0, ,0, , ,08/25/1959,1717,46.50,-100.10, , ,"","",23
10009810,ROCK ISLAND CO., ,08/26/1959,1300,Tornado,0,F2,0,0,25000,0,IL,CST, , ,C,161, ,0,0, , ,5.6,50,0, ,0, , ,08/26/1959,1300,41.60,-90.28,41.68,-90.23,"","",24
10095939,CHOCTAW CO., ,08/27/1959,115,Tornado,0,F1,0,0,2500,0,OK,CST, , ,C,23, ,0,0, , ,2,100,0, ,0, , ,08/27/1959,115,34.00,-95.53, , ,"","",25
10095940,PUSHMATAHA CO., ,08/27/1959,120,Tornado,0,F1,0,0,2500,0,OK,CST, , ,C,127, ,0,0, , ,0,100,0, ,0, , ,08/27/1959,120,34.00,-95.53, , ,"","",26
10082461,CHESHIRE CO., ,08/27/1959,1129,Tornado,0, ,0,0,25000,0,NH,CST, , ,C,5, ,0,0, , ,.1,17,0, ,0, , ,08/27/1959,1129,43.08,-72.30, , ,"","",27
10149099,OUTAGAMIE CO., ,08/28/1959,1404,Tornado,0, ,0,0,0,0,WI,CST, , ,C,87, ,0,0, , ,1,33,0, ,0, , ,08/28/1959,1404,44.30,-88.40, , ,"","",28
10043489,PISCATAQUIS CO., ,08/28/1959,1500,Tornado,0, ,0,0,0,0,ME,CST, , ,C,21, ,0,0, , ,0,33,0, ,0, , ,08/28/1959,1500,45.17,-69.25, , ,"","",29
10070591,CLAY CO., ,08/28/1959,1700,Tornado,0, ,0,0,25000,0,NE,CST, , ,C,35, ,0,0, , ,0,33,0, ,0, , ,08/28/1959,1700,40.43,-98.10, , ,"","",30
10083624,RANSOM CO., ,08/28/1959,1720,Tornado,0, ,0,0,0,0,ND,CST, , ,C,73, ,0,0, , ,0,33,0, ,0, , ,08/28/1959,1720,46.40,-97.70, , ,"","",31
