EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
9990662,LOS ANGELES CO., ,01/04/1978,1715,Tornado,0, ,0,0,30,0,CA,CST, , ,C,37, ,0,0, , ,0,33,0, ,0, , ,01/04/1978,1715,34.12,-117.82, , ,"","",1
9980103,WOODRUFF CO., ,01/07/1978,1532,Tornado,0,F3,0,1,25000,0,AR,CST, , ,C,147, ,0,0, , ,5.1,100,0, ,0, , ,01/07/1978,1532,35.03,-91.22,35.05,-91.13,"","",2
9980104,ST. FRANCIS CO., ,01/07/1978,1540,Tornado,0,F3,0,0,250,0,AR,CST, , ,C,123, ,0,0, , ,16.6,150,0, ,0, , ,01/07/1978,1540,35.05,-91.13,35.15,-90.87,"","",3
9980108,CROSS CO., ,01/07/1978,1605,Tornado,0,F3,1,8,2500000,0,AR,CST, , ,C,37, ,0,0, , ,17.9,150,0, ,0, , ,01/07/1978,1605,35.15,-90.87,35.27,-90.58,"","",4
9980112,GRANT CO., ,01/07/1978,1710,Tornado,0,F1,0,0,2500,0,AR,CST, , ,C,53, ,0,0, , ,19.4,50,0, ,0, , ,01/07/1978,1710,34.32,-92.50,34.45,-92.20,"","",5
10032220,CADDO PAR., ,01/07/1978,1720,Tornado,0,F1,0,0,2500,0,LA,CST, , ,C,17, ,0,0, , ,.1,77,0, ,0, , ,01/07/1978,1720,32.42,-93.80, , ,"","",6
9980117,JEFFERSON CO., ,01/07/1978,1800,Tornado,0,F0,0,0,0,0,AR,CST, , ,C,69, ,0,0, , ,3,27,0, ,0, , ,01/07/1978,1800,34.45,-92.18,34.47,-92.15,"","",7
9980118,JEFFERSON CO., ,01/07/1978,1800,Tornado,0,F1,0,0,2500,0,AR,CST, , ,C,69, ,0,0, , ,3.3,33,0, ,0, , ,01/07/1978,1800,34.45,-92.20,34.48,-92.17,"","",8
9980119,PULASKI CO., ,01/07/1978,1808,Tornado,0,F1,0,0,2500,0,AR,CST, , ,C,119, ,0,0, , ,10.4,33,0, ,0, , ,01/07/1978,1808,34.48,-92.17,34.58,-92.03,"","",9
9980120,LONOKE CO., ,01/07/1978,1812,Tornado,0,F1,0,0,2500,0,AR,CST, , ,C,85, ,0,0, , ,1.9,33,0, ,0, , ,01/07/1978,1812,34.58,-92.03,34.60,-92.02,"","",10
10126390,HARDIN CO., ,01/07/1978,1840,Tornado,0,F1,0,0,250000,0,TN,CST, , ,C,71, ,0,0, , ,1,100,0, ,0, , ,01/07/1978,1840,35.23,-88.25, , ,"","",11
9980121,OUACHITA CO., ,01/07/1978,1905,Tornado,0,F0,0,0,2500,0,AR,CST, , ,C,103, ,0,0, , ,1,50,0, ,0, , ,01/07/1978,1905,33.58,-92.85, , ,"","",12
9980122,OUACHITA CO., ,01/07/1978,1905,Tornado,0,F1,0,0,250000,0,AR,CST, , ,C,103, ,0,0, , ,2,100,0, ,0, , ,01/07/1978,1905,33.60,-92.83, , ,"","",13
10126391,TIPTON CO., ,01/07/1978,1930,Tornado,0,F1,0,0,250000,0,TN,CST, , ,C,167, ,0,0, , ,3,100,0, ,0, , ,01/07/1978,1930,35.47,-89.73,35.50,-89.70,"","",14
9999583,HILLSBOROUGH CO., ,01/08/1978,1620,Tornado,0,F2,0,2,250000,0,FL,CST, , ,C,57, ,0,0, , ,10,100,0, ,0, , ,01/08/1978,1620,27.92,-82.30,28.00,-82.17,"","",15
10087686,ROWAN CO., ,01/08/1978,1630,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,159, ,0,0, , ,.5,20,0, ,0, , ,01/08/1978,1630,35.67,-80.47, , ,"","",16
